,district,size,floor,registration,heating,rooms,parking,balcony,state,price
20670,Palata pravde,228.0,5.0,False,"Klima, Ostalo",6.0,False,True,Novogradnja,462500
20671,Kotež,25.0,2.0,True,Ostalo,1.0,False,False,Standardna gradnja,35000
20672,Dedinje (25. maj),210.0,0.0,True,Ostalo,6.0,False,True,Novogradnja,376000
20673,Centar (uži),235.0,5.0,True,Ostalo,6.0,False,True,Izvorno stanje,429900
20675,Kalenić pijaca,120.0,1.0,True,Centralno,3.0,True,True,Izvorno stanje,295000
20696,Centar (uži),130.0,1.0,True,"Klima, Centralno",5.0,False,True,Standardna gradnja,430000
20699,Stari Grad,35.0,0.0,True,"Klima, Centralno",1.0,False,True,Standardna gradnja,60000
20700,Stari Grad,101.0,4.0,True,"Klima, Centralno",5.0,False,True,Standardna gradnja,265000
20701,Vračar (Centar),118.0,2.0,True,"Klima, Centralno",5.0,False,True,Izvorno stanje,358000
20702,Banjica,38.0,1.0,True,"Klima, Centralno",1.0,False,False,Standardna gradnja,75000
20703,Savski venac,35.0,0.0,False,"Klima, Centralno",1.0,False,True,Standardna gradnja,60000
20704,Banovo brdo,38.0,5.0,True,"Klima, Centralno",1.0,False,True,Standardna gradnja,89000
20705,Novi Beograd Blok 21 (10. Gimnazija),39.0,3.0,True,"Klima, Centralno",1.0,True,True,Izvorno stanje,105000
20706,Belvil,41.0,10.0,True,"Klima, Centralno",1.0,True,True,Novogradnja,112500
20707,Golf naselje,38.0,5.0,True,"Klima, Centralno",1.0,False,True,Standardna gradnja,89000
20708,Centar (uži),38.0,1.0,False,Centralno,2.0,False,True,Izvorno stanje,145000
20709,Centar (uži),40.0,3.0,True,"Klima, Ostalo",1.0,False,False,Izvorno stanje,79000
20710,Novi Beograd Blok 25 (Arena),44.0,2.0,True,"Klima, Centralno",1.0,False,False,Standardna gradnja,95000
20711,Terazije ( centar ),130.0,2.0,True,Ostalo,5.0,False,True,Izvorno stanje,245000
20712,Novi Beograd Blok 11 (Hotel Jugoslavija),47.0,0.0,True,Centralno,2.0,False,True,Izvorno stanje,98000
20713,Novi Beograd Blok 67a,32.0,5.0,True,"Klima, Centralno",1.0,False,True,Novogradnja,93900
20714,Južni bulevar,112.0,2.0,True,Centralno,5.0,True,True,Izvorno stanje,180000
20735,Severni bulevar,92.0,4.0,True,Centralno,4.0,True,False,Izvorno stanje,189000
20737,Novi Beograd Blok 25 (Arena),59.0,1.0,True,Centralno,3.0,True,True,Standardna gradnja,173000
20742,Autokomanda,40.0,4.0,True,Centralno,2.0,False,False,Izvorno stanje,87000
20743,Julino brdo,74.0,5.0,True,Ostalo,3.0,False,False,Novogradnja,100000
20744,Voždovac,72.0,1.0,True,Centralno,3.0,True,True,Standardna gradnja,189990
20746,Gornji Dorćol,100.0,3.0,True,Centralno,3.0,False,True,Standardna gradnja,295000
20747,Gornji Dorćol,277.0,3.0,True,Centralno,7.0,False,True,Standardna gradnja,680000
20749,Galenika,60.0,2.0,False,Klima,2.0,True,True,Novogradnja,85000
20750,Tašmajdan,130.0,11.0,True,Centralno,5.0,True,True,Standardna gradnja,305124
20751,Voždovac,200.0,2.0,True,Centralno,5.0,True,True,Standardna gradnja,415000
20752,Novi Beograd Blok 37,62.0,3.0,True,Centralno,2.0,False,True,Standardna gradnja,110900
20776,Bežanijska kosa II,70.0,0.0,False,"Klima, Centralno",3.0,True,True,Standardna gradnja,109000
20777,Zemun (Gornji grad),62.0,1.0,True,"Klima, Ostalo",3.0,False,True,Novogradnja,122000
20778,Novi Beograd Blok 62,61.0,0.0,True,Centralno,3.0,False,False,Standardna gradnja,77500
20780,Novi Beograd Blok 45 (TC Enjub),48.0,2.0,True,Centralno,2.0,False,True,Standardna gradnja,89900
20782,Banjica,86.0,19.0,True,Centralno,3.0,False,True,Standardna gradnja,95000
20785,Novi Beograd Blok 29,77.0,6.0,True,Klima,3.0,True,True,Standardna gradnja,145000
20787,Bulbuder,73.0,1.0,False,"Klima, Ostalo",3.0,True,True,Novogradnja,146000
20789,Miljakovac III,62.0,2.0,True,"Klima, Ostalo",2.0,True,True,Novogradnja,77000
20790,Banjica,72.0,1.0,True,"Klima, Ostalo",3.0,False,True,Novogradnja,189990
20815,Učiteljsko naselje,51.0,3.0,False,Ostalo,3.0,True,False,Standardna gradnja,77000
20820,Vračar (Centar),34.0,2.0,True,Etažno,1.0,False,False,Kompletna rekonstrukcija,75000
20822,Dedinje (RTV Pink),61.0,2.0,True,Centralno,2.0,False,True,Kompletna rekonstrukcija,183000
20823,Gornji Dorćol,50.0,3.0,False,Centralno,2.0,False,True,Standardna gradnja,140000
20824,Novi Beograd Blok 25 (Arena),38.0,1.0,False,Centralno,2.0,False,False,Standardna gradnja,101000
20834,Bežanijska kosa I,54.0,2.0,True,Centralno,3.0,False,True,Standardna gradnja,104000
20858,Čubura,32.0,3.0,True,"Klima, Ostalo",1.0,False,False,Izvorno stanje,79000
20867,Stari Grad,94.0,1.0,True,Ostalo,3.0,False,False,Izvorno stanje,240000
20868,Vukov spomenik,112.0,3.0,True,Ostalo,3.0,False,False,Izvorno stanje,176000
20870,Stari Grad,77.0,1.0,True,Centralno,2.0,False,True,Izvorno stanje,230000
